iter	Logloss
0	0.6915308053
1	0.6899661691
2	0.6884902954
3	0.6870256696
4	0.6856779262
5	0.6843743896
6	0.6831394741
7	0.6819595773
8	0.6808302089
9	0.6796613421
10	0.6786369106
11	0.6775905936
12	0.6766192627
13	0.6757109724
14	0.6747336687
15	0.6738698033
16	0.6729323469
17	0.6721350098
18	0.6713200596
19	0.670600368
20	0.6698948015
21	0.6691165597
22	0.6684925188
23	0.6678928484
24	0.6672891671
25	0.6667001779
26	0.666151559
27	0.6655980573
28	0.6650716291
29	0.6645526123
30	0.6640665981
31	0.6636443656
32	0.6632063947
33	0.6627859497
34	0.662387085
35	0.6619267055
36	0.6615007673
37	0.6610823277
38	0.6607502093
39	0.6604731097
40	0.6601263864
41	0.6598152379
42	0.65951634
43	0.6592668806
44	0.6589761789
45	0.658696725
46	0.6583592006
47	0.6579379272
48	0.6576422119
49	0.6573305838
50	0.6569837298
51	0.6567460414
52	0.6565320696
53	0.6563499233
54	0.6560833304
55	0.6559104701
56	0.6557565744
57	0.6555912999
58	0.6553873553
59	0.6551053728
60	0.654898856
61	0.6547675868
62	0.6546204485
63	0.6543987601
64	0.6541876221
65	0.6540361677
66	0.653860648
67	0.6537426322
68	0.6536104911
69	0.6533726283
70	0.6532461112
71	0.653087071
72	0.652990897
73	0.6528313337
74	0.6526876831
75	0.6525248936
76	0.6523968942
77	0.6522647531
78	0.6521760777
79	0.6520013864
80	0.6518805804
81	0.6517320905
82	0.6516918945
83	0.6515403094
84	0.6514483643
85	0.651327689
86	0.6512390137
87	0.6511426653
88	0.6509614781
89	0.6507901873
90	0.6506668963
91	0.6505097743
92	0.6504094587
93	0.650338222
94	0.6502947998
95	0.6501076835
96	0.6500510515
97	0.6499965123
98	0.6498935372
99	0.6497524152
100	0.6496365356
101	0.6494929722
102	0.6493344116
103	0.649213562
104	0.6491594587
105	0.6491063581
106	0.6489820208
107	0.6488810512
108	0.6487901524
109	0.6486665562
110	0.6485435704
111	0.6484638759
112	0.6483760289
113	0.6482858712
114	0.6481878662
115	0.6481040737
116	0.6480300467
117	0.647950701
118	0.647900129
119	0.6478091867
120	0.6477464948
121	0.6476327951
122	0.6475197928
123	0.6474153355
124	0.64734375
125	0.6472644479
126	0.6472370257
127	0.6471678816
128	0.6470676967
129	0.6470000349
130	0.646907741
131	0.6468390765
132	0.646767055
133	0.6467104667
134	0.6466625541
135	0.6465961565
136	0.6464956665
137	0.6464636666
138	0.6464111328
139	0.6463521467
140	0.6462965611
141	0.6462734549
142	0.6461957659
143	0.6460758754
144	0.6459738595
145	0.6458504813
146	0.6458071027
147	0.645721392
148	0.6456789289
149	0.6456147112
150	0.6455499268
151	0.6454690988
152	0.6454390172
153	0.6453980364
154	0.6452591378
155	0.6451494925
156	0.6450585937
157	0.6450027902
158	0.6450009155
159	0.6449583217
160	0.6448978533
161	0.6448232596
162	0.6447140503
163	0.6446025739
164	0.6445652553
165	0.6445058332
166	0.644417463
167	0.6443413435
168	0.6442953055
169	0.6442548479
170	0.6441983032
171	0.6441077532
172	0.6440573556
173	0.643969465
174	0.6438727679
175	0.6437108503
176	0.6436122785
177	0.6435526385
178	0.6434795707
179	0.6434223284
180	0.6433126831
181	0.6432709612
182	0.6432331194
183	0.6431896973
184	0.6430975342
185	0.6430002703
186	0.6429870605
187	0.6428882708
188	0.6427852522
189	0.6427440534
190	0.6426994978
191	0.6426059832
192	0.6425655692
193	0.6424501256
194	0.6423960223
195	0.6423287528
196	0.6422704206
197	0.6421806117
198	0.6421602086
199	0.6420648193
200	0.6419269671
201	0.6418535505
202	0.6417998396
203	0.6417409842
204	0.6416470773
205	0.6415132795
