sido,sigungu,cityGubun,marketType,userType,ageGroup,gender,dtYearMonth,userCount,useCount,useCost
제주도,제주시,도심,교통,내국인관광객,40대,남,201803,8171,9738,912760768
제주도,제주시,도심,교통,내국인관광객,30대,여,201803,8180,8896,860124206
제주도,제주시,도심,교통,내국인관광객,30대,남,201803,10594,11954,983167425
제주도,제주시,도심,교통,내국인관광객,20대미만,여,201803,14,19,1007100
제주도,제주시,도심,교통,내국인관광객,20대미만,남,201803,12,12,658700
제주도,제주시,도심,교통,내국인관광객,60대이상,여,201804,1513,1695,147565921
제주도,제주시,도심,교통,내국인관광객,60대이상,남,201804,3329,3829,309510405
제주도,제주시,도심,교통,내국인관광객,50대,여,201804,4223,4662,431957773
제주도,제주시,도심,교통,내국인관광객,50대,남,201804,6927,7916,684701972
제주도,제주시,도심,교통,내국인관광객,40대,여,201804,5245,5860,640016406
제주도,제주시,도심,교통,내국인관광객,40대,남,201804,9034,10406,1036627543
제주도,제주시,도심,교통,내국인관광객,30대,여,201804,8496,9157,983635386
제주도,제주시,도심,교통,내국인관광객,30대,남,201804,11162,12455,1055387112
제주도,제주시,도심,교통,내국인관광객,20대미만,여,201804,23,24,1759300
제주도,제주시,도심,교통,내국인관광객,20대미만,남,201804,28,36,3244886
제주도,제주시,도심,교통,내국인관광객,60대이상,여,201805,1496,1723,134507667
제주도,제주시,도심,교통,내국인관광객,60대이상,남,201805,3303,3830,313015026
제주도,제주시,도심,교통,내국인관광객,50대,여,201805,3978,4379,388720032
제주도,제주시,도심,교통,내국인관광객,50대,남,201805,7046,8104,685042605
제주도,제주시,도심,교통,내국인관광객,40대,여,201805,5768,6418,649092719
제주도,제주시,도심,교통,내국인관광객,40대,남,201805,10104,11627,1017967783
제주도,제주시,도심,교통,내국인관광객,30대,여,201805,8410,9065,881257845
제주도,제주시,도심,교통,내국인관광객,30대,남,201805,11058,12350,1034931367
제주도,제주시,도심,교통,내국인관광객,20대미만,여,201805,31,36,2083322
제주도,제주시,도심,교통,내국인관광객,20대미만,남,201805,19,26,1082153
제주도,제주시,도심,교통,내국인관광객,60대이상,여,201806,1337,1495,135390623
제주도,제주시,도심,교통,내국인관광객,60대이상,남,201806,2834,3346,283478879
제주도,제주시,도심,교통,내국인관광객,50대,여,201806,3742,4094,370581137
제주도,제주시,도심,교통,내국인관광객,50대,남,201806,6827,7885,666222474
제주도,제주시,도심,교통,내국인관광객,40대,여,201806,6014,6714,601162313
제주도,제주시,도심,교통,내국인관광객,40대,남,201806,9835,11256,902300707
제주도,제주시,도심,교통,내국인관광객,30대,여,201806,8932,9559,815180913
제주도,제주시,도심,교통,내국인관광객,30대,남,201806,11659,13011,958581300
제주도,제주시,도심,교통,내국인관광객,20대미만,여,201806,25,21,2513490
제주도,제주시,도심,교통,내국인관광객,20대미만,남,201806,27,29,2393370
제주도,제주시,도심,교통,내국인관광객,60대이상,여,201807,1358,1569,155930397
제주도,제주시,도심,교통,내국인관광객,60대이상,남,201807,2598,3103,291476909
제주도,제주시,도심,교통,내국인관광객,50대,여,201807,3673,4061,412513634
제주도,제주시,도심,교통,내국인관광객,50대,남,201807,7224,8310,775641287
제주도,제주시,도심,교통,내국인관광객,40대,여,201807,6230,6906,703965613
제주도,제주시,도심,교통,내국인관광객,40대,남,201807,10827,12577,1184218312
제주도,제주시,도심,교통,내국인관광객,30대,여,201807,8743,9436,1047546657
제주도,제주시,도심,교통,내국인관광객,30대,남,201807,12100,13554,1301478296
제주도,제주시,도심,교통,내국인관광객,20대미만,여,201807,29,30,1549721
제주도,제주시,도심,교통,내국인관광객,20대미만,남,201807,40,41,3717482
제주도,제주시,도심,교통,내국인관광객,60대이상,여,201808,1330,1554,165707246
제주도,제주시,도심,교통,내국인관광객,60대이상,남,201808,2767,3294,270112772
제주도,제주시,도심,교통,내국인관광객,50대,여,201808,3716,3998,359589211
제주도,제주시,도심,교통,내국인관광객,50대,남,201808,7654,8877,759653285
제주도,제주시,도심,교통,내국인관광객,40대,여,201808,6582,7188,596883567
제주도,제주시,도심,교통,내국인관광객,40대,남,201808,12455,14240,1129614904
제주도,제주시,도심,교통,내국인관광객,30대,여,201808,9004,9511,792026865
제주도,제주시,도심,교통,내국인관광객,30대,남,201808,13274,14702,1111221931
제주도,제주시,도심,교통,내국인관광객,20대미만,여,201808,33,37,4464316
제주도,제주시,도심,교통,내국인관광객,20대미만,남,201808,50,50,3146384
제주도,제주시,도심,교통,내국인관광객,60대이상,여,201809,1299,1484,132677899
제주도,제주시,도심,교통,내국인관광객,60대이상,남,201809,2716,3148,249228841
제주도,제주시,도심,교통,내국인관광객,50대,여,201809,3516,3797,307232165
제주도,제주시,도심,교통,내국인관광객,50대,남,201809,6162,6985,552666478
제주도,제주시,도심,교통,내국인관광객,40대,여,201809,5086,5639,510600320
제주도,제주시,도심,교통,내국인관광객,40대,남,201809,9278,10650,799549515
제주도,제주시,도심,교통,내국인관광객,30대,여,201809,8078,8474,658414313
제주도,제주시,도심,교통,내국인관광객,30대,남,201809,11630,12922,927463454
제주도,제주시,도심,교통,내국인관광객,20대미만,여,201809,29,33,1740256
제주도,제주시,도심,교통,내국인관광객,20대미만,남,201809,33,38,3454307
제주도,제주시,도심,교통,내국인관광객,60대이상,여,201810,1485,1701,165482239
제주도,제주시,도심,교통,내국인관광객,60대이상,남,201810,3108,3593,299329224
제주도,제주시,도심,교통,내국인관광객,50대,여,201810,3993,4404,400272169
제주도,제주시,도심,교통,내국인관광객,50대,남,201810,6693,7660,681248193
제주도,제주시,도심,교통,내국인관광객,40대,여,201810,5607,6098,598834753
제주도,제주시,도심,교통,내국인관광객,40대,남,201810,9426,11009,1021560054
제주도,제주시,도심,교통,내국인관광객,30대,여,201810,7986,8553,895272432
제주도,제주시,도심,교통,내국인관광객,30대,남,201810,10705,11931,989755437
제주도,제주시,도심,교통,내국인관광객,20대미만,여,201810,36,49,6716072
제주도,제주시,도심,교통,내국인관광객,20대미만,남,201810,24,26,3887130
제주도,제주시,도심,교통,내국인관광객,60대이상,여,201811,1391,1570,132654296
제주도,제주시,도심,교통,내국인관광객,60대이상,남,201811,2834,3345,253636067
제주도,제주시,도심,교통,내국인관광객,50대,여,201811,3920,4431,389940702
제주도,제주시,도심,교통,내국인관광객,50대,남,201811,6713,7802,660555755
제주도,제주시,도심,교통,내국인관광객,40대,여,201811,5309,5994,552581079
제주도,제주시,도심,교통,내국인관광객,40대,남,201811,8351,9860,795775396
제주도,제주시,도심,교통,내국인관광객,30대,여,201811,6696,7386,691219453
제주도,제주시,도심,교통,내국인관광객,30대,남,201811,9167,10443,821266954
